PERMIT_NUMBER,NAICS_CODE,NAICS_DESC,SIC_CODE,SIC_DESC
NHR053331,,,2421,"Sawmills And Planing Mills, General"
NHR053332,,,2421,"Sawmills And Planing Mills, General"
NHR053336,,,4522,"Air Transportation, Nonscheduled"
NHR053337,,,4151,School Buses
NHR053339,,,2411,Logging
NHR053340,,,2411,Logging
NHR053341,,,1423,Crushed And Broken Granite
NHR053342,,,1442,Construction Sand And Gravel
NHR053343,,,4215,"Courier Services, Except By Air"
NHR053349,,,4213,"Trucking, Except Local"
NHR053350,,,3441,Fabricated Structural Metal
NHR053353,,,1442,Construction Sand And Gravel
NHR053361,,,2411,Logging
NHR053367,,,2499,Wood Products
NHR053368,,,5171,Petroleum Bulk Stations & Terminals
NHR05J001,,,5015,"Motor Vehicle Parts, Used"
NHR05J002,,,1429,Crushed And Broken Stone
NHR05J003,,,2421,"Sawmills And Planing Mills, General"
NHR05J004,,,2421,"Sawmills And Planing Mills, General"
NHR05J005,,,2426,Hardwood Dimension & Flooring Mills
NHR05J006,,,2411,Logging
NHR05J007,,,1442,Construction Sand And Gravel
NHR05J009,,,4214,Local Trucking With Storage
NHR05J00A,,,1429,Crushed And Broken Stone
NHR05J00B,,,3357,Nonferrous Wiredrawing & Insulating
NHR05J00C,,,5171,Petroleum Bulk Stations & Terminals
NHR05J00D,,,2421,"Sawmills And Planing Mills, General"
NHR05J00E,,,3555,Printing Trades Machinery
NHR05J00F,,,2411,Logging
NHR05J00G,,,2951,Asphalt Paving Mixtures And Blocks
NHR05J00H,,,1442,Construction Sand And Gravel
NHR05J00I,,,5093,Scrap And Waste Materials
NHR05J00J,,,1442,Construction Sand And Gravel
NHR05J00K,,,3271,Concrete Block And Brick
NHR05J00L,,,1442,Construction Sand And Gravel
NHR05J00M,,,2082,Malt Beverages
NHR05J00N,,,4581,"Airports, Flying Fields, & Services"
NHR05J00O,,,1423,Crushed And Broken Granite
NHR05J00P,,,1442,Construction Sand And Gravel
NHR05J00Q,,,1429,Crushed And Broken Stone
NHR05J00R,,,3354,Aluminum Extruded Products
NHR05J00S,,,1442,Construction Sand And Gravel
NHR05J00T,,,4491,Marine Cargo Handling
NHR05J00U,,,4225,General Warehousing And Storage
NHR05J00V,,,3272,Concrete Products
NHR05J00W,,,2411,Logging
NHR05J00X,,,1446,Industrial Sand
NHR05J00Y,,,4222,Refrigerated Warehousing And Storage
NHR05J00Z,,,1442,Construction Sand And Gravel
NHR05J012,,,2421,"Sawmills And Planing Mills, General"
NHR05J013,,,5093,Scrap And Waste Materials
NHR05J015,,,3496,Miscellaneous Fabricated Wire Products
NHR05J016,,,1442,Construction Sand And Gravel
NHR05J01A,,,5093,Scrap And Waste Materials
NHR05J01B,,,2297,Nonwoven Fabrics
NHR05J01D,,,3643,Current-Carrying Wiring Devices
NHR05J01E,,,1442,Construction Sand And Gravel
NHR05J01K,,,3085,Plastics Bottles
NHR05J01N,,,1442,Construction Sand And Gravel
NHR05J01O,,,4581,"Airports, Flying Fields, & Services"
NHR05J01P,,,4581,"Airports, Flying Fields, & Services"
NHR05J01R,,,3271,Concrete Block And Brick
NHR05J01S,,,2411,Logging
NHR05J01T,,,4581,"Airports, Flying Fields, & Services"
NHR05J01U,,,1429,Crushed And Broken Stone
NHR05J01V,,,2992,Lubricating Oils And Greases
NHR05J01W,,,2048,Prepared Feeds
NHR05J01Y,,,5015,"Motor Vehicle Parts, Used"
